name,fullname,symbol
上交所,上海证券交易所,SSE
深交所,深圳证券交易所,SZSE
上期所,上海期货交易所,SHFE
大商所,大连商品交易所,DCE
郑商所,郑州商品交易所,CZCE
中金所,中国金融期货交易所,CFFEX
能源所,上海国际能源交易中心,INE
