name,symbol,exchange
黄金期权,au,SHFE
铜期权,cu,SHFE
铝期权,al,SHFE
锌期权,zn,SHFE
天然橡胶期权,ru,SHFE
豆粕期权,m,DCE
玉米期权,c,DCE
铁矿石期权,i,DCE
液化石油气期权,pg,DCE
聚乙烯期权,l,DCE
聚氯乙烯期权,v,DCE
聚丙烯期权,pp,DCE
棉花期权,cf,CZCE
白糖期权,sr,CZCE
菜籽粕期权,rm,CZCE
PTA期权,ta,CZCE
甲醇期权,ma,CZCE
动力煤期权,zc,CZCE
沪深300股指期权,io,CFFEX
沪深300ETF期权,510300,SSE
上证50ETF期权,510050,SSE
